word,normal_cnt,abnormal_cnt
波动,137.0,3.0
回落,137.0,2.0
银行行长,137.0,2.0
私人银行,136.0,1.0
基金份额,136.0,1.0
遭罚,136.0,1.0
普惠,136.0,
本金,136.0,
重仓,136.0,1.0
涉嫌,136.0,1.0
特色,136.0,1.0
中银协,135.0,
时,135.0,2.0
大盘,135.0,2.0
估值修复,135.0,6.0
绿色金融,134.0,2.0
整改,134.0,1.0
金融活水,134.0,
城市,134.0,2.0
保护,134.0,1.0
低于,134.0,
银行间,133.0,4.0
股份制银行,133.0,4.0
江西,133.0,2.0
结算,133.0,3.0
自贸,133.0,
增强,133.0,1.0
接单,133.0,
操作,132.0,1.0
对公,132.0,
公募基金,132.0,2.0
指数分级证券投资基金,132.0,
两大,132.0,2.0
农业,132.0,4.0
代销,132.0,
债券型证券投资基金,132.0,2.0
全力,132.0,2.0
国有银行,132.0,
自有,132.0,4.0
上调,132.0,4.0
编号,132.0,2.0
流动性,131.0,
软件,131.0,4.0
吴江银行,131.0,14.0
定期开放债券型发起式,131.0,4.0
并购,131.0,2.0
解析,131.0,1.0
论坛,131.0,1.0
违约,131.0,
降息,131.0,2.0
前十,130.0,
已经,130.0,5.0
数字货币,130.0,2.0
构建,130.0,2.0
危机,130.0,2.0
再度,130.0,6.0
踩雷,129.0,1.0
升,129.0,5.0
十年,129.0,5.0
关键,129.0,
香港,129.0,2.0
新闻,129.0,
执行,129.0,
护航,129.0,2.0
异动,129.0,5.0
之后,128.0,2.0
第一期,128.0,
华为,128.0,1.0
第二届,128.0,1.0
短期,128.0,3.0
开,128.0,5.0
用于,127.0,4.0
普遍,127.0,
授信额度,127.0,1.0
主力资金,127.0,9.0
广发,127.0,1.0
金融圈,127.0,1.0
您好,127.0,2.0
贡献,127.0,4.0
到位,127.0,1.0
无锡,126.0,1.0
七成,126.0,
政府,126.0,1.0
区域,126.0,
App,126.0,3.0
第九届,126.0,5.0
大增,126.0,2.0
服务实体经济,126.0,2.0
中国民生银行,126.0,2.0
率先,126.0,6.0
款,126.0,2.0
富国,125.0,
人均,125.0,2.0
消费贷,125.0,4.0
延续,125.0,3.0
亮眼,125.0,2.0
转换业务,125.0,
开发,125.0,3.0
联手,125.0,1.0
人才,125.0,2.0
楼市,125.0,
季,124.0,
更名,124.0,5.0
到底,124.0,5.0
限售股,124.0,
PK,124.0,
震荡,124.0,5.0
被查,124.0,
系列,124.0,
驰援,124.0,3.0
定价,123.0,2.0
领跑,123.0,
严重,123.0,2.0
复盘,123.0,12.0
近期,123.0,
独立,123.0,
再现,123.0,6.0
物流,123.0,1.0
阿里,123.0,2.0
高效,123.0,4.0
推荐,122.0,2.0
表,122.0,2.0
级,122.0,3.0
附,122.0,4.0
会议,122.0,2.0
四家,122.0,
金融债,122.0,
吃,121.0,1.0
双,121.0,3.0
申万,121.0,1.0
流入,121.0,9.0
梳理,121.0,
获准发行,120.0,
责任,120.0,
社保,120.0,
扩容,120.0,2.0
输血,120.0,
条,120.0,2.0
揭秘,120.0,4.0
终止,120.0,1.0
宣布,120.0,
减值,119.0,3.0
再次,119.0,5.0
开户,119.0,
抗,119.0,1.0
存量,119.0,1.0
组合拳,119.0,
拐点,119.0,
抵押,118.0,1.0
万人,118.0,6.0
办,118.0,
银行系,118.0,
支付宝,118.0,
浙商,118.0,6.0
泄露,118.0,
租赁,117.0,4.0
每股,117.0,4.0
换锚,117.0,
解除质押,117.0,2.0
发债,116.0,1.0
刘,116.0,4.0
回归,116.0,1.0
首发,116.0,1.0
带来,116.0,4.0
巨亏,116.0,1.0
高级,116.0,5.0
董监,116.0,
金融债券,115.0,
债市,115.0,2.0
独家,115.0,
发挥,115.0,1.0
有何,115.0,
供应链金融,115.0,
同比下降,115.0,
套现,114.0,3.0
炒股,114.0,2.0
落实,114.0,3.0
量,114.0,2.0
挂牌,114.0,2.0
成都银行,114.0,2.0
